period_ending,fiscal_period,fiscal_year,current_ratio,quick_ratio,cash_ratio,days_of_sales_outstanding,days_of_inventory_outstanding,operating_cycle,days_of_payables_outstanding,cash_conversion_cycle,gross_profit_margin,operating_profit_margin,pretax_profit_margin,net_profit_margin,effective_tax_rate,return_on_assets,return_on_equity,return_on_capital_employed,net_income_per_ebt,ebt_per_ebit,ebit_per_revenue,debt_ratio,debt_equity_ratio,long_term_debt_to_capitalization,total_debt_to_capitalization,cash_flow_to_debt_ratio,company_equity_multiplier,receivables_turnover,payables_turnover,inventory_turnover,fixed_asset_turnover,asset_turnover,operating_cash_flow_per_share,free_cash_flow_per_share,cash_per_share,payout_ratio,operating_cash_flow_sales_ratio,free_cash_flow_operating_cash_flow_ratio,cash_flow_coverage_ratios,short_term_coverage_ratios,capital_expenditure_coverage_ratio,dividend_paid_and_capex_coverage_ratio,dividend_payout_ratio,price_book_value_ratio,price_to_book_ratio,price_to_sales_ratio,price_earnings_ratio,price_to_free_cash_flows_ratio,price_to_operating_cash_flows_ratio,price_cash_flow_ratio,price_earnings_to_growth_ratio,price_sales_ratio,dividend_yield,enterprise_value_multiple,price_fair_value,interest_coverage,Stock
2022-03-31,FY,2022,1.839033826706775,1.8327515339929803,0.8228644290353659,71.26497945674504,3.1436478157823267,74.40862727252737,29.9250358701082,44.48359140241917,0.561914802556494,0.135127539374572,0.13278874686144715,0.1192650079890436,0.10179674171354411,0.06385365353649183,0.10972110627224116,0.10663539922837126,0.8981559869187233,0.9826919625418342,0.135127539374572,0.03822328583874142,0.06567989418475512,,0.06163191643490677,1.0310369357919893,1.7183215085654648,5.121730235276925,12.197144945266201,116.1071536600121,7.631656305457871,0.5353930261117142,2.2339178248257348,0.860215612417197,22.099839806035416,,0.07360876512211824,0.38507039196229226,1.0310369357919893,6.628401120217878,1.6262023928089662,1.6262023928089662,,4.6604338866024495,4.6604338866024495,5.065813712622689,42.47527248803828,178.72263393126775,68.82079470044656,68.82079470044656,-1.4363348722928737,5.065813712622689,,23.564582853650872,4.6604338866024495,19.29496842534121,TTWO
2021-03-31,FY,2021,1.8886144318179277,1.880675164394565,0.6367183287354315,71.24268702420443,4.218548158571024,75.46123518277545,16.882039105326417,58.57919607744904,0.5448595398680967,0.18660733663585916,0.20096703838860142,0.17460415349747924,0.13120079785664546,0.09769056129025194,0.1767464251542367,0.16591103262604512,0.868819856716277,1.0769514318762472,0.18660733663585916,0.03172844777677251,0.057404621758448356,0.045730522405008876,0.054288226642120505,4.769891146361611,1.8092477187135718,5.123332867498283,21.62061097731018,86.52265809942509,10.736969442295631,0.5594973506266694,7.96075112127188,7.3593392785466225,23.83532573602555,,0.27049501122518804,0.9244528771765985,4.769891146361611,28.875391675898086,13.236771469611016,13.236771469611016,,6.07768000883582,6.07768000883582,6.00401491710676,34.38643810494141,24.010307625726973,22.196397966498523,22.196397966498523,0.789124669331348,6.00401491710676,,21.70351950098655,6.07768000883582,101.39906557112937,TTWO
2020-03-31,FY,2020,1.71365423962946,1.7042808599688306,0.6659985411120415,79.66270310168115,4.521650620765665,84.18435372244682,15.543233168011929,68.64112055443488,0.50065879565033,0.13767275175867685,0.14841160645781604,0.13093652576748885,0.11774739932684611,0.08172817343567129,0.15928323548268697,0.14612514959833942,0.8822526006731539,1.078002760618623,0.13767275175867685,0.03581572379098745,0.06980266567529549,0.0565001413813309,0.06524816951286402,3.868510431829209,1.948939133064802,4.581817912130291,23.482887765665915,80.72273393343103,10.794102847238724,0.6241816250784024,6.062796208530806,5.590772441111976,17.698831081559028,,0.2219762574579876,0.9221442134646292,3.868510431829209,27.223488307460197,12.844260452570058,12.844260452570058,,5.282799352878259,5.282799352878259,4.342650320333315,33.16607260562875,21.21531528054987,19.56358022278679,19.56358022278679,1.5530145108984892,4.342650320333315,,17.53664759704079,5.282799352878259,81.04955212502382,TTWO
2024-06-29,FY,2024,1.1950005410669842,0.6887782707499188,0.07531652418569419,24.748744355943384,26.58120057288748,51.329944928830855,35.74086182203126,15.589083106799592,0.18527725635431994,0.04061184110395211,0.03253259601237887,0.024795799299883313,0.2378167641325536,0.078460488822892,1.0510752688172043,0.20426129114570044,0.7621832358674464,0.8010618363522798,0.04061184110395211,0.5195248224104025,6.959677419354839,0.857645798255013,0.8743667679837892,0.23089996137504828,13.396236559139785,14.748222970445193,10.212400635930047,13.731509191962378,12.280996884735202,3.164265360998515,5.963230009530275,4.303341294933691,3.7467199591495004,0.5156010230179028,0.03791030389122825,0.7216460354633657,0.23089996137504828,5.031986531986532,3.592548076923077,1.6244565217391305,0.5156010230179028,19.238392982032256,19.238392982032256,0.4538507806120948,18.303535011038363,16.589434838470098,11.971699881759786,11.971699881759786,1.5580326143542413,0.4538507806120948,0.028169477792511548,11.521326684236028,19.238392982032256,5.275123558484349,SYY
2023-07-01,FY,2023,1.2421342102912112,0.7174755659344204,0.08725564617156999,24.350828221672742,26.222620229015774,50.57344845068852,35.2639515791632,15.309496871525326,0.1828372934440926,0.039810834438535114,0.029942544793017462,0.02319040336562193,0.2254490002647291,0.07755964917623547,0.8812011418773666,0.2127729345707693,0.7744967412065084,0.7521205022528845,0.039810834438535114,0.48927724704435294,5.558968785565427,0.8339533354959009,0.8475370088357886,0.25681857038060724,11.36159267398246,14.989223227945176,10.350513304801371,13.9192802554537,13.516411463807474,3.3444717607289203,5.65197401411167,4.088349674072452,1.4687731028538935,0.5627033898305085,0.03757110004071423,0.7233489863656114,0.25681857038060724,17.744952073316377,3.6146623388901142,1.6026300641029223,0.5627033898305085,18.742365733622353,18.742365733622353,0.49323928525866634,21.269111946101695,18.149132514413456,13.128156607716134,13.128156607716134,0.68163659971844,0.49323928525866634,0.02645636504506919,13.080066371705016,18.742365733622353,5.768462198529859,SYY
2022-07-02,FY,2022,1.1971616880211617,0.6911478052009555,0.09863812125188141,25.923932121713243,28.82994366998202,54.75387579169526,37.28680595945473,17.467069832240526,0.1795048923638574,0.0340787636881593,0.025449753545311243,0.019800062783245434,0.22212674457413756,0.06142036700273716,0.98317248563946,0.17539736018549998,0.7780060717677684,0.7467921600147069,0.0340787636881593,0.5147582204653115,8.239874553267837,0.8772629929800889,0.8917734224382589,0.15727315214015813,16.007271425057514,14.079654208563717,9.788985422803364,12.660447907154294,13.25094517712068,3.1020289013785507,3.507987657105852,2.268731834533746,1.698068865412494,0.7056195732155998,0.026098289376562604,0.646733129159721,0.15727315214015813,2.6100588517283234,2.830721141842156,1.1253641457550516,0.7056195732155998,31.888094335653204,31.888094335653204,0.6421927780793518,32.43387584724062,38.04768756098487,24.606700033607137,24.606700033607137,0.20495025842121373,0.6421927780793518,0.021755635266626078,17.620419563370184,31.888094335653204,3.7505993012027714,SYY
2021-07-03,FY,2021,1.4663655400306346,0.9615434427291073,0.4108179081412118,26.96893483416057,32.158315541316114,59.127250375476684,42.510695238421775,16.61655513705491,0.18240043738291295,0.028017591304959937,0.011398685905760209,0.010218928698425,0.10349940485148651,0.024480259895386745,0.33756864593636665,0.10197765738509312,0.8965005951485135,0.40684032334151105,0.028017591304959937,0.5519987611576022,7.611744121950214,0.8715531888952983,0.8838795038683128,0.1610661773819109,13.789422472593142,13.53409032445982,8.586074585534131,11.350096976660923,10.187793556833398,2.3955798712207264,3.727933087947881,2.806297451113019,5.8882792433558535,1.7503781888521563,0.037113490327458795,0.7527757030257763,0.1610661773819109,3.185909214132956,4.044909874308441,1.3714069613323345,1.7503781888521563,25.18793088707808,25.18793088707808,0.7624928229988149,74.61572983832785,27.292188848200418,20.54489664731632,20.54489664731632,0.5137476480671753,0.7624928229988149,0.023458568222072658,24.6771843305514,25.18793088707808,1.6329753208875437,SYY
2020-06-27,FY,2020,1.8381217927811162,1.3773964687825113,0.9019886264257345,20.71279534217087,26.277338276371182,46.99013361854205,29.26565605327137,17.724477565270682,0.18720068757277622,0.014170128509635718,0.00554671280734747,0.004073766606778816,0.26555299539170507,0.009522382315993633,0.18597668073808943,0.04710782806203711,0.7344470046082949,0.3914370150966304,0.014170128509635718,0.666314511240057,13.013441071349968,0.9171955344122807,0.9286399396901545,0.10735702145614981,19.5304782528765,17.621957537371436,12.471956867654077,13.890295743089446,10.448715504753581,2.337488431504208,3.173129070765242,1.7608702150631217,11.881130469907603,3.9740665970530222,0.030602735960370036,0.5549317962784491,0.10735702145614981,0.9800909563740001,2.246846644263162,1.0266024411204167,3.9740665970530222,23.026957243963256,23.026957243963256,0.5043989875713961,123.81636854994778,29.701223606718344,16.482153367744086,16.482153367744086,-1.4225710429142937,0.5043989875713961,0.03209645577232283,23.146822961021076,23.026957243963256,1.836032041546225,SYY
2024-12-31,FY,2024,1.333292015784537,1.333292015784537,0.20105489252195535,1.3266598564699448,,1.3266598564699448,8.838023405485787,-7.511363549015842,0.34786914791712886,0.26552853833573237,0.2678672218008843,0.203974506475706,0.23852382869253086,0.2159875587168652,0.2794318317820245,0.31186422738971326,0.7614761713074691,1.0088076538959247,0.26552853833573237,0.010923818082654772,0.014132584835088823,0.009332780964273002,0.013935638245355233,27.6607098204611,1.2937404054292194,275.1270404542229,41.29882704015509,,8.30464103926374,1.0588948709754078,7.7059110372179855,4.123816910173412,0.5047044945803107,0.1885364560191489,0.28535463755479545,0.5351498207358238,27.6607098204611,82.96415,2.151230750481643,1.6677283764985888,0.1885364560191489,8.948690991917237,8.948690991917237,6.532200776981535,32.02459410171212,42.77590490616184,22.89151784234516,22.89151784234516,-12.083946841046004,6.532200776981535,0.005887239520361923,19.940746445105255,8.948690991917237,7283.009433962264,ODFL
2023-12-31,FY,2023,2.099175996680486,2.099175996680486,0.7964612656015334,38.286238576838784,,38.28623857683879,10.849504461441668,27.436734115397122,0.35324672800841167,0.2796847064310642,0.28089555129154514,0.21129728653468235,0.24777275552016778,0.22485733509929354,0.29111249895571045,0.3302658052412216,0.7522272444798322,1.004329320955486,0.2796847064310642,0.03635027473549146,0.04706103677384013,0.013890677359307747,0.04494583899219724,7.83091372762343,1.2946542252097744,9.533451536835125,33.64208948871194,,1.3927881276554825,1.0641752139225196,7.170156947126675,3.70963609489181,1.9822430278507615,0.141257537301271,0.2674896593201131,0.5173716729280782,7.83091372762343,78.45675,2.07198778834003,1.6829025802286148,0.141257537301271,10.41680982521695,10.41680982521695,7.560800921677447,35.78276392317237,54.633391204888724,28.265769005407435,28.265769005407435,-4.666986018064827,7.560800921677447,0.00394764187597579,22.365099338162274,10.41680982521695,3535.9331896551726,ODFL
